ID,start_date,year,month,receiver_country,initiator_country,inclusion_criteria,inclusion_criteria_subcode,incident_type,receiver_region
18,2005-01-01,2005.0,1.0,Singapore,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Singapore,China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Singapore,China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Singapore,China,Non politicised attack<br>on political target(s),,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Saudi Arabia,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Saudi Arabia,China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Saudi Arabia,China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Saudi Arabia,China,Non politicised attack<br>on political target(s),,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Thailand,China,Attack conducted by<br>non-state actors with political goals,Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Thailand,China,Attack conducted by<br>non-state actors with political goals,,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Thailand,China,Non politicised attack<br>on political target(s),Attack conducted by<br>a state-affiliated group,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
18,2005-01-01,2005.0,1.0,Thailand,China,Non politicised attack<br>on political target(s),,Data theft,"['ASIA', 'SASIA', 'SCO', 'NATO', 'NORTHAM', 'SCS', 'SEA', 'NEA', 'MENA', 'MEA', 'GULFC']"
19,2005-01-01,2005.0,1.0,United States,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,United States,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Brazil,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,Brazil,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,France,Brazil,Non politicised attack<br>on political target(s),,Data theft,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
19,2005-01-01,2005.0,1.0,France,Brazil,Non politicised attack<br>on political target(s),,Hijacking with Misuse,"['NATO', 'NORTHAM', 'SOUTHAM', 'EUROPE', 'EU(MS)', 'WESTEU', 'ASIA', 'CSTO', 'SCO', 'MENA', 'MEA', 'GULFC', 'SASIA', 'EASTEU']"
