ID,start_date,receiver_country,incident_type,initiator_country,initiator_category,initiator_name,receiver_region
314,2012-01-01,Japan,Data theft,Unknown,Unknown - not attributed,Blacktech,"['ASIA', 'SCS', 'NEA']"
314,2012-01-01,Japan,Hijacking with Misuse,Unknown,Unknown - not attributed,Blacktech,"['ASIA', 'SCS', 'NEA']"
314,2012-01-01,Hong Kong,Data theft,Unknown,Unknown - not attributed,Blacktech,"['ASIA', 'SCS', 'NEA']"
314,2012-01-01,Hong Kong,Hijacking with Misuse,Unknown,Unknown - not attributed,Blacktech,"['ASIA', 'SCS', 'NEA']"
315,2012-01-01,Venezuela,Data theft,Unknown,Unknown - not attributed,Machete,"['SOUTHAM', 'NO_REGION']"
315,2012-01-01,Venezuela,Hijacking with Misuse,Unknown,Unknown - not attributed,Machete,"['SOUTHAM', 'NO_REGION']"
315,2012-01-01,Ecuador,Data theft,Unknown,Unknown - not attributed,Machete,"['SOUTHAM', 'NO_REGION']"
315,2012-01-01,Ecuador,Hijacking with Misuse,Unknown,Unknown - not attributed,Machete,"['SOUTHAM', 'NO_REGION']"
316,2012-01-01,United States,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,United States,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Canada,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Canada,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Israel,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Israel,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Germany,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Germany,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Saudi Arabia,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Saudi Arabia,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Turkey,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,Turkey,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,United Arab Emirates,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,United Arab Emirates,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,United Kingdom,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,United Kingdom,Hijacking without Misuse,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
316,2012-01-01,France,Data theft,"Iran, Islamic Republic of","Non-state actor, state-affiliation suggested",Magic Hound/APT35/Cobalt Gypsy,"['NATO', 'NORTHAM', 'ASIA', 'MENA', 'MEA', 'EUROPE', 'EU(MS)', 'WESTEU', 'GULFC', 'NORTHEU', 'SCS', 'EASIA', 'NEA', 'SCO']"
