ID,receiver_country,initiator_country,weighted_cyber_intensity,initiator_name,initiator_category,cyber_conflict_issue,receiver_region
696,Netherlands,Unknown,1.0,,Unknown - not attributed,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
697,Russia,Unknown,2.0,Cyber Caliphate,Non-state-group,System / ideology,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
698,India,China,2.0,,Unknown - not attributed,Unknown,"['ASIA', 'SASIA', 'SCO']"
698,India,Pakistan,2.0,,Unknown - not attributed,Unknown,"['ASIA', 'SASIA', 'SCO']"
699,Denmark,Russia,1.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",State,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
700,Canada,Unknown,1.0,,Unknown - not attributed,Unknown,"['NATO', 'NORTHAM']"
701,United States,China,2.0,,"Non-state actor, state-affiliation suggested",Cyber-specific,"['NATO', 'NORTHAM']"
702,Yemen,Yemen,2.0,Houthi Militias,Non-state-group,National power,"['ASIA', 'MENA', 'MEA']"
703,Ukraine,Russia,3.0,"Sandworm/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)","Non-state actor, state-affiliation suggested",System / ideology,"['EUROPE', 'EASTEU']"
703,Ukraine,Russia,3.0,"Sandworm/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)","Non-state actor, state-affiliation suggested",Resources,"['EUROPE', 'EASTEU']"
703,Ukraine,Russia,3.0,"Sandworm/VOODOO Bear/Quedagh/TeleBots/FROZENBARENTS/IRON VIKING/Black Energy/IRIDIUM/ELECTRUM/G0034 (GRU, Main Centre for Special Technologies (GTsST) Military Unit 74455)","Non-state actor, state-affiliation suggested",Secession,"['EUROPE', 'EASTEU']"
704,China,Philippines,1.0,Anonymous Philippines,Non-state-group,Territory,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
705,China,Unknown,1.0,Anonymous Globo,Non-state-group,System / ideology,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
705,China,Unknown,1.0,Anonymous Globo,Non-state-group,Autonomy,"['ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
706,Saudi Arabia,"Iran, Islamic Republic of",1.0,Yemen Cyber Army,"Non-state actor, state-affiliation suggested",System / ideology,"['ASIA', 'MENA', 'MEA', 'GULFC', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
706,Saudi Arabia,"Iran, Islamic Republic of",1.0,Yemen Cyber Army,"Non-state actor, state-affiliation suggested",National power,"['ASIA', 'MENA', 'MEA', 'GULFC', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
706,United Kingdom,"Iran, Islamic Republic of",1.0,Yemen Cyber Army,"Non-state actor, state-affiliation suggested",System / ideology,"['ASIA', 'MENA', 'MEA', 'GULFC', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
706,United Kingdom,"Iran, Islamic Republic of",1.0,Yemen Cyber Army,"Non-state actor, state-affiliation suggested",National power,"['ASIA', 'MENA', 'MEA', 'GULFC', 'EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
707,Turkey,Armenia,1.0,Monte Melkonian Cyber Army,Non-state-group,Other,"['ASIA', 'NATO', 'MEA']"
707,Turkey,Armenia,1.0,Anonymous,Non-state-group,Other,"['ASIA', 'NATO', 'MEA']"
708,Armenia,Turkey,1.0,Anonymous,Non-state-group,Other,"['ASIA', 'CENTAS', 'CSTO']"
708,Armenia,Turkey,1.0,TurkHackTeam,Non-state-group,Other,"['ASIA', 'CENTAS', 'CSTO']"
709,United Arab Emirates,Yemen,1.0,Houthi Militias,Non-state-group,National power,"['ASIA', 'MENA', 'MEA', 'GULFC']"
710,Turkmenistan,Unknown,1.0,El Moujahidine,Non-state-group,System / ideology,['ASIA']
711,"Iran, Islamic Republic of",Saudi Arabia,1.0,,Non-state-group,System / ideology,"['ASIA', 'MENA', 'MEA']"
711,"Iran, Islamic Republic of",Saudi Arabia,1.0,,Non-state-group,National power,"['ASIA', 'MENA', 'MEA']"
711,"Iran, Islamic Republic of",Saudi Arabia,1.0,,Non-state-group,Subnational predominance,"['ASIA', 'MENA', 'MEA']"
712,Germany,Russia,4.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)",State,International power,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
712,Germany,Russia,4.0,GRU,State,International power,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
713,Holy See (Vatican City State),Turkey,1.0,THT Herakles,Non-state-group,Other,['EUROPE']
714,Chile,Chile,2.0,Anonymous,Non-state-group,System / ideology,['SOUTHAM']
715,United States,China,2.0,APT19/Deep Panda/Shell Crew/WebMasters/KungFu Kittens/Group 13/Codoso/SunShop Group/Black Vine/PinkPanther/G0073 (PLA),"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM']"
715,United States,China,2.0,PLA,"Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM']"
716,United Kingdom,Unknown,1.0,,Non-state-group,Unknown,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
717,Japan,Unknown,2.0,,Unknown - not attributed,Unknown,"['ASIA', 'SCS', 'NEA']"
718,Italy,Unknown,1.0,Anonymous,Non-state-group,Unknown,"['EUROPE', 'NATO', 'EU(MS)']"
719,Middle East (region),Unknown,3.0,Molerats/Extreme Jackal,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
719,Middle East (region),Unknown,3.0,Gaza Cybergang 1,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
719,United States,Unknown,3.0,Molerats/Extreme Jackal,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
719,United States,Unknown,3.0,Gaza Cybergang 1,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
719,Europe (region),Unknown,3.0,Molerats/Extreme Jackal,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
719,Europe (region),Unknown,3.0,Gaza Cybergang 1,Unknown - not attributed,Unknown,"['NO_REGION', 'NATO', 'NORTHAM']"
720,"Iran, Islamic Republic of",Saudi Arabia,1.0,RxRHaCker,Non-state-group,System / ideology,"['ASIA', 'MENA', 'MEA']"
720,"Iran, Islamic Republic of",Saudi Arabia,1.0,RxRHaCker,Non-state-group,National power,"['ASIA', 'MENA', 'MEA']"
720,"Iran, Islamic Republic of",Saudi Arabia,1.0,RxRHaCker,Non-state-group,Subnational predominance,"['ASIA', 'MENA', 'MEA']"
721,United States,Russia,4.0,Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),State,International power,"['NATO', 'NORTHAM']"
722,United States,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,System / ideology,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,United States,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,United Kingdom,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,System / ideology,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,United Kingdom,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Australia,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,System / ideology,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Australia,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Israel,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,System / ideology,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Israel,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Singapore,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,System / ideology,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
722,Singapore,"Iran, Islamic Republic of",4.0,Iran Revolutionary Guard Corps,State,International power,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC', 'ASIA', 'MENA', 'MEA']"
723,Thailand,Unknown,3.0,,Unknown - not attributed,Unknown,"['ASIA', 'SEA']"
724,United States,Syria,1.0,Syrian Electronic Army,Non-state-group,System / ideology,"['NATO', 'NORTHAM']"
725,United Kingdom,Unknown,1.0,The Cyber Army of the Khilafah,Non-state-group,System / ideology,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
726,United States,Unknown,1.0,AnonGhost,Non-state-group,System / ideology,"['NATO', 'NORTHAM']"
726,United States,Unknown,1.0,AnonGhost,Non-state-group,Secession,"['NATO', 'NORTHAM']"
727,United States,Yemen,1.0,Lov3rDns,Individual hacker(s),System / ideology,"['NATO', 'NORTHAM']"
728,Malaysia,Unknown,1.0,AnonGhost,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
728,Malaysia,Unknown,1.0,Pro-ISIS,Non-state-group,System / ideology,"['ASIA', 'SCS', 'SEA']"
729,Canada,Unknown,1.0,Anonymous,Non-state-group,Other,"['NATO', 'NORTHAM']"
730,United States,Unknown,1.0,Anonymous,Non-state-group,Other,"['NATO', 'NORTHAM']"
731,United States,Russia,1.0,"Fancy Bear/APT28/Sofacy/Pawn Storm/Group 74/Sednit/Tsar Team/STRONTIUM/Grizzly Steppe/SNAKEMACKEREL/IRON TWILIGHT/TG-4127/Group G0007 (GRU, 85th Main Special Service Center (GTsSS) Military Unit 26165)","Non-state actor, state-affiliation suggested",Unknown,"['NATO', 'NORTHAM']"
732,Azerbaijan,Armenia,2.0,Monte Melkonian Cyber Army,Non-state-group,Territory,"['ASIA', 'CENTAS']"
733,United States,Russia,1.0,,"Non-state actor, state-affiliation suggested",International power,"['NATO', 'NORTHAM']"
