ID,incident_type,weighted_cyber_intensity,start_date,year,month,receiver_country,initiator_country,receiver_region
2480,Hijacking with Misuse,6.0,2023-08-07,2023.0,8.0,Israel,Not available,"['ASIA', 'MENA', 'MEA']"
2481,Data theft,3.0,2021-08-01,2021.0,8.0,United Kingdom,Not available,"['EUROPE', 'NATO', 'NORTHEU']"
2481,Hijacking with Misuse,3.0,2021-08-01,2021.0,8.0,United Kingdom,Not available,"['EUROPE', 'NATO', 'NORTHEU']"
2482,Hijacking without Misuse,1.0,2022-11-01,2022.0,11.0,Vietnam,China,"['ASIA', 'SCS', 'SEA']"
2483,Data theft,5.0,2020-01-01,2020.0,1.0,Japan,China,"['ASIA', 'SCS', 'NEA']"
2483,Hijacking with Misuse,5.0,2020-01-01,2020.0,1.0,Japan,China,"['ASIA', 'SCS', 'NEA']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Pakistan,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Palestine,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Afghanistan,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Bhutan,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Hong Kong,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Malaysia,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Thailand,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Laos,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Vietnam,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Bangladesh,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Taiwan,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Philippines,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Czech Republic,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,India,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,United States,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Cambodia,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2484,Hijacking without Misuse,1.0,2021-01-01,2021.0,1.0,Nepal,China,"['ASIA', 'SASIA', 'SCO', 'MENA', 'MEA', 'SCS', 'SEA', 'EUROPE', 'NATO', 'EU(MS)', 'EASTEU', 'NORTHAM']"
2487,Disruption,1.0,2023-06-06,2023.0,6.0,Netherlands,Russia,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2488,Disruption,1.0,2023-07-19,2023.0,7.0,United Kingdom,Not available,"['EUROPE', 'NATO', 'NORTHEU']"
2489,Disruption,1.0,2023-06-10,2023.0,6.0,Netherlands,Russia,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
2490,Data theft & Doxing,3.0,2023-07-24,2023.0,7.0,NATO (institutions),Not available,['NO_REGION']
2490,Hijacking with Misuse,3.0,2023-07-24,2023.0,7.0,NATO (institutions),Not available,['NO_REGION']
2491,Data theft & Doxing,4.0,2023-08-06,2023.0,8.0,Russia,Ukraine,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
2491,Disruption,4.0,2023-08-06,2023.0,8.0,Russia,Ukraine,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
2491,Hijacking with Misuse,4.0,2023-08-06,2023.0,8.0,Russia,Ukraine,"['EUROPE', 'EASTEU', 'CSTO', 'SCO']"
2492,Hijacking without Misuse,1.0,2017-06-09,2017.0,6.0,Eastern Europe,Not available,['NO_REGION']
2492,Hijacking without Misuse,1.0,2017-06-09,2017.0,6.0,North Africa (region),Not available,['NO_REGION']
2492,Hijacking without Misuse,1.0,2017-06-09,2017.0,6.0,Europe (region),Not available,['NO_REGION']
2492,Hijacking without Misuse,1.0,2017-06-09,2017.0,6.0,South Asia (region),Not available,['NO_REGION']
2493,Hijacking with Misuse,2.0,2023-07-23,2023.0,7.0,St. Vincent and the Grenadines,"Korea, Democratic People's Republic of",['NO_REGION']
2495,Hijacking with Misuse,2.0,2023-05-01,2023.0,5.0,United States,Not available,"['NATO', 'NORTHAM']"
2496,Hijacking without Misuse,1.0,2023-03-01,2023.0,3.0,South Africa,Not available,"['AFRICA', 'SSA']"
2497,Data theft & Doxing,4.0,2023-07-26,2023.0,7.0,Brazil,Not available,['SOUTHAM']
2497,Hijacking with Misuse,4.0,2023-07-26,2023.0,7.0,Brazil,Not available,['SOUTHAM']
2498,Data theft,3.0,2023-08-01,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2498,Hijacking with Misuse,3.0,2023-08-01,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2498,Ransomware,3.0,2023-08-01,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2499,Disruption,4.0,2023-08-10,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
2499,Hijacking with Misuse,4.0,2023-08-10,2023.0,8.0,United States,Not available,"['NATO', 'NORTHAM']"
