ID,start_date,industry_date,political_date,attacker_date,third_party_date,other_date,date_difference_ind,date_difference_pol,date_difference_att,date_difference_third,date_difference_other,date_difference_ind_months,date_difference_pol_months,date_difference_att_months,date_difference_third_months,date_difference_other_months,average_overall,receiver_country,initiator_country,incident_type,receiver_region
149,2010-06-18,,,,,,,,,,,,,,,,,Turkey,Turkey,Disruption,"['ASIA', 'NATO', 'MEA']"
150,2010-06-22,,,,2011-01-01,2011-01-01,,,,193,193,,,,6.4,6.4,6.4,India,Italy,Data theft,"['ASIA', 'SASIA', 'SCO']"
151,2010-09-01,,,,,,,,,,,,,,,,,Germany,Unknown,Data theft & Doxing,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
152,2010-09-01,,,,,,,,,,,,,,,,,United States,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC']"
152,2010-09-01,,,,,,,,,,,,,,,,,United Kingdom,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC']"
152,2010-09-01,,,,,,,,,,,,,,,,,Australia,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC']"
152,2010-09-01,,,,,,,,,,,,,,,,,Spain,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'EU(MS)', 'NORTHEU', 'OC']"
153,2010-09-27,,,,,2010-01-01,,,,,,,,,,,,Myanmar,Myanmar,Disruption,"['ASIA', 'SEA']"
153,2010-09-27,,,,,2010-01-01,,,,,,,,,,,,Thailand,Myanmar,Disruption,"['ASIA', 'SEA']"
154,2010-10-01,,2014-01-01,,,2014-01-01,,1188,,,1188,,39.6,,,39.6,39.6,United States,Russia,Data theft,"['NATO', 'NORTHAM']"
154,2010-10-01,,2014-01-01,,,2014-01-01,,1188,,,1188,,39.6,,,39.6,39.6,United States,Russia,Hijacking without Misuse,"['NATO', 'NORTHAM']"
155,2010-11-30,,,,,2010-01-01,,,,,,,,,,,,Sweden,Unknown,Disruption,"['EUROPE', 'EU(MS)', 'NORTHEU']"
156,2010-12-01,,,,,2011-01-01,,,,,31,,,,,1.0,1.0,France,China,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'WESTEU']"
157,2010-12-01,,,,,,,,,,,,,,,,,United Kingdom,Unknown,Data theft,"['EUROPE', 'NATO', 'EU(MS)', 'NORTHEU']"
158,2010-12-03,,,,,,,,,,,,,,,,,India,Pakistan,Disruption,"['ASIA', 'SASIA', 'SCO']"
159,2010-12-08,,,,,,,,,,,,,,,,,United States,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'WESTEU']"
159,2010-12-08,,,,,,,,,,,,,,,,,Switzerland,Unknown,Disruption,"['NATO', 'NORTHAM', 'EUROPE', 'WESTEU']"
160,2011-01-01,,,,,2011-01-01,,,,,0,,,,,0.0,0.0,"Korea, Republic of","Korea, Democratic People's Republic of",Disruption,"['ASIA', 'SCS', 'NEA']"
161,2011-01-01,,,,,,,,,,,,,,,,,Europe (region),China,Data theft,['NO_REGION']
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,EU (institutions),United States,Data theft,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,EU (institutions),United States,Hijacking with Misuse,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Mena Region (region),United States,Data theft,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Mena Region (region),United States,Hijacking with Misuse,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Asia (region),United States,Data theft,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Asia (region),United States,Hijacking with Misuse,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Africa,United States,Data theft,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
162,2011-01-01,2017-01-01,,,,,2192,,,,,73.1,,,,,73.1,Africa,United States,Hijacking with Misuse,"['NO_REGION', 'ASIA', 'SCS', 'EASIA', 'NEA', 'SCO']"
